Title,Body,Labels,Milestone,Priority,Estimate,Area,Dependencies
"EPIC: Core deterministic state engine","Problem: Need a side-effect-free core with fixed-capacity state tables and deterministic behavior.\nOutcome: Core APIs for applyProposal/mergeDelta/tick/exportDeltas with bounded effects.\nDoD: deterministic replay tests pass; no runtime allocations in hot paths.","type:epic,area:core,priority:P0","M2 — Core State Model (No Side Effects)","P0","L","core",""
"task(core): create core module skeleton and limits config","Create core directory/module layout and compile-time limits constants. Add placeholder APIs and baseline tests.","type:task,area:core,priority:P0","M1 — Architecture & Contracts Freeze","P0","S","core",""
"task(core): implement NodeMeta table","Implement fixed-capacity table keyed by NodeId with deterministic iteration and update semantics.","type:task,area:core,priority:P0","M2 — Core State Model (No Side Effects)","P0","M","core","task(core): create core module skeleton and limits config"
"task(core): implement JobSpecSummary table","Implement fixed-capacity table keyed by JobId with version field and tombstone support.","type:task,area:core,priority:P0","M2 — Core State Model (No Side Effects)","P0","M","core","task(core): create core module skeleton and limits config"
"task(core): implement Placement table","Implement fixed-capacity table keyed by (JobId,ReplicaId) with lease fields and deterministic lookup/update.","type:task,area:core,priority:P0","M2 — Core State Model (No Side Effects)","P0","M","core","task(core): create core module skeleton and limits config"
"task(core): add dirty-set tracking","Add bounded dirty tracking for NodeMeta/JobSpec/Placement updates with dedupe and overflow signaling.","type:task,area:core,priority:P1","M2 — Core State Model (No Side Effects)","P1","M","core","task(core): implement NodeMeta table"
"feat(crdt): implement HLC clock","Implement HLC next/observe/compare and serialization helpers with monotonicity tests.","type:feature,area:crdt,priority:P0","M3 — CRDT + Reducer Engine","P0","M","crdt",""
"feat(crdt): LWW merges for NodeMeta and JobSpecSummary","Implement deterministic LWW merge rules and tie-break policy for equal versions.","type:feature,area:crdt,priority:P0","M3 — CRDT + Reducer Engine","P0","M","crdt","feat(crdt): implement HLC clock"
"feat(placement): deterministic placement merge rule","Implement merge precedence: lease_epoch > HLC > score > node_id.","type:feature,area:placement,priority:P0","M3 — CRDT + Reducer Engine","P0","M","placement","feat(crdt): implement HLC clock"
"feat(core): reducers and effects API","Implement applyProposal, mergeDelta, tick, exportDeltas with bounded effect buffers.","type:feature,area:core,priority:P0","M3 — CRDT + Reducer Engine","P0","L","core","task(core): implement NodeMeta table"
"test(core): deterministic replay invariance","Add tests proving identical final state across event replay permutations.","type:test,area:core,priority:P0","M3 — CRDT + Reducer Engine","P0","M","core","feat(core): reducers and effects API"
